,tollgate_id,time_window,direction,volume,volume_model0,volume_model1,volume_model2,volume_model3,volume_model4,volume_model5,volume_model6,volume_model7,volume_etc0,volume_etc1,volume_type0,volume_type1,volume_type2,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,A2,A3,B1,B3,C1,C3,dayofweek
0,2,2016-09-19 00:00:00,0,2,0,1,1,0,0,0,0,0,2,0,0,0,2,1008.2,1013.2,329,2.8,22.2,76,0.0,100.19,126.35,91.41166666666668,76.13,154.95363636363638,151.44,0
1,3,2016-09-19 00:00:00,0,17,0,11,0,2,0,3,0,1,17,0,0,0,17,1008.2,1013.2,329,2.8,22.2,76,0.0,100.19,126.35,91.41166666666668,76.13,154.95363636363638,151.44,0
2,3,2016-09-19 00:00:00,1,181,0,162,6,4,5,2,0,2,135,46,160,21,0,1008.2,1013.2,329,2.8,22.2,76,0.0,100.19,126.35,91.41166666666668,76.13,154.95363636363638,151.44,0
3,1,2016-09-19 00:00:00,0,13,0,10,1,0,0,2,0,0,9,4,0,0,13,1008.2,1013.2,329,2.8,22.2,76,0.0,100.19,126.35,91.41166666666668,76.13,154.95363636363638,151.44,0
4,1,2016-09-19 00:00:00,1,140,0,125,7,2,2,0,0,4,107,33,109,31,0,1008.2,1013.2,329,2.8,22.2,76,0.0,100.19,126.35,91.41166666666668,76.13,154.95363636363638,151.44,0
5,2,2016-09-19 00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,52.63,86.15,92.75428571428571,92.20583333333332,182.60666666666668,152.49499999999995,0
6,3,2016-09-19 00:20:00,0,16,0,14,1,1,0,0,0,0,15,1,0,0,16,1008.2,1013.2,329,2.8,22.2,76,0.0,52.63,86.15,92.75428571428571,92.20583333333332,182.60666666666668,152.49499999999995,0
7,3,2016-09-19 00:20:00,1,112,0,92,13,2,3,1,0,1,77,35,96,16,0,1008.2,1013.2,329,2.8,22.2,76,0.0,52.63,86.15,92.75428571428571,92.20583333333332,182.60666666666668,152.49499999999995,0
8,1,2016-09-19 00:20:00,0,6,0,6,0,0,0,0,0,0,5,1,0,0,6,1008.2,1013.2,329,2.8,22.2,76,0.0,52.63,86.15,92.75428571428571,92.20583333333332,182.60666666666668,152.49499999999995,0
9,1,2016-09-19 00:20:00,1,56,0,41,5,1,6,1,0,2,46,10,40,16,0,1008.2,1013.2,329,2.8,22.2,76,0.0,52.63,86.15,92.75428571428571,92.20583333333332,182.60666666666668,152.49499999999995,0
10,2,2016-09-19 00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,48.14666666666667,98.41055555555558,126.74666666666668,132.89,165.66857142857143,163.78,0
11,3,2016-09-19 00:40:00,0,16,0,13,2,1,0,0,0,0,15,1,0,0,16,1008.2,1013.2,329,2.8,22.2,76,0.0,48.14666666666667,98.41055555555558,126.74666666666668,132.89,165.66857142857143,163.78,0
12,3,2016-09-19 00:40:00,1,93,0,73,8,7,3,1,0,1,68,25,77,16,0,1008.2,1013.2,329,2.8,22.2,76,0.0,48.14666666666667,98.41055555555558,126.74666666666668,132.89,165.66857142857143,163.78,0
13,1,2016-09-19 00:40:00,0,9,0,6,1,0,1,1,0,0,8,1,0,0,9,1008.2,1013.2,329,2.8,22.2,76,0.0,48.14666666666667,98.41055555555558,126.74666666666668,132.89,165.66857142857143,163.78,0
14,1,2016-09-19 00:40:00,1,31,0,20,8,2,1,0,0,0,26,5,20,11,0,1008.2,1013.2,329,2.8,22.2,76,0.0,48.14666666666667,98.41055555555558,126.74666666666668,132.89,165.66857142857143,163.78,0
15,2,2016-09-19 01:00:00,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1008.2,1013.2,329,2.8,22.2,76,0.0,68.01347826086958,86.11,97.8,63.75,184.69375,268.25666666666666,0
16,3,2016-09-19 01:00:00,0,17,0,16,0,0,0,1,0,0,16,1,0,0,17,1008.2,1013.2,329,2.8,22.2,76,0.0,68.01347826086958,86.11,97.8,63.75,184.69375,268.25666666666666,0
17,3,2016-09-19 01:00:00,1,4,0,4,0,0,0,0,0,0,3,1,4,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,68.01347826086958,86.11,97.8,63.75,184.69375,268.25666666666666,0
18,1,2016-09-19 01:00:00,0,10,0,7,0,0,0,3,0,0,9,1,0,0,10,1008.2,1013.2,329,2.8,22.2,76,0.0,68.01347826086958,86.11,97.8,63.75,184.69375,268.25666666666666,0
19,1,2016-09-19 01:00:00,1,4,0,3,1,0,0,0,0,0,3,1,2,2,0,1008.2,1013.2,329,2.8,22.2,76,0.0,68.01347826086958,86.11,97.8,63.75,184.69375,268.25666666666666,0
20,2,2016-09-19 01:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,45.6,63.82,73.6,49.95,144.6275,153.11,0
